_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2586;Catholic;['Catholic'];[('Catholic', ['A'])];['C3420000'];['Catholic'];[('Catholic', ['A'])];[('Catholic', 'A')];Katholik/in, katholisch;[['Katholik'], ['Katholikin'], ['katholisch']];[''];[['4254'], ['42546'], ['4258']];[''];[''];passiv;3/C4;III;s/a;;
2587;to blackmail;['to blackmail'];[('to', ['V TO']), ('blackmail', ['V INF'])];['T0 T42540000'];['blackmail'];[('blackmail', ['V INF'])];[('blackmail', 'V')];erpressen;[['erpressen']];[''];['071786'];[''];[''];passiv;3/C4;III;v;;
2588;definitely;['definitely'];[('definitely', ['Adv'])];['D153400000'];['definitely'];[('definitely', ['Adv'])];[('definitely', 'Adv')];eindeutig, definitiv;[['eindeutig'], ['definitiv']];[''];[['06224'], ['23623']];[''];[''];aktiv;3/C5;III;av;Claire has got three cats and a dog. She definitely likes animals.;
2589;No way!;['No way'];[('No', ['Det']), ('way', ['N 3sg'])];['N0 N00'];['no', 'way'];[('no', ['Det']), ('way', ['N 3sg'])];[('no', 'Det'), ('way', 'N')];Ausgeschlossen!;[['Ausgeschlossen']];[''];['0848586'];[''];[''];passiv;3/C5;III;ph;;
2590;not mind doing sth;[['not mind doing'], ['not mind doing sth']];[[('not', ['Adv']), ('mind', ['V INF']), ('doing', ['V PROG'])]];[['N30 N530 N5200'], ['N30 N530 N5200 N30']];[['not', 'mind', 'doing']];[[('not', ['Adv']), ('mind', ['V INF']), ('doing', ['V PROG'])]];[[('not', 'Adv'), ('mind', 'V'), ('doing', 'V')]];nichts gegen etw (einzuwenden) haben;[['nichts gegen etw haben'], ['nichts gegen etw einzuwenden haben']];[''];[['648 446 023 016'], ['648 446 023 0683626 016']];[''];[''];aktiv;3/C5;III;ph;I don’t mind getting up early. I’m a morning person.;
2591;wig;['wig'];[('wig', ['N 3sg'])];['W20'];['wig'];[('wig', ['N 3sg'])];[('wig', 'N')];Perücke;[['Perücke']];[''];['174'];[''];[''];passiv;3/C5;III;s;;
2592;to consider;['to consider'];[('to', ['V TO']), ('consider', ['V INF'])];['T0 T5236000'];['consider'];[('consider', ['V INF'])];[('consider', 'V')];nachdenken, betrachten, hier: ansehen (als);[['nachdenken'], ['betrachten'], ['ansehen'], ['ansehen als']];[''];[['642646'], ['127426'], ['0686'], ['0686 058']];[''];[''];aktiv;3/C5;III;v;Football is considered to be the best sport by many people.;
2593;light-skinned;['light-skinned'];[('light-skinned', ['A'])];['L232530000000'];['light-skinned'];[('light-skinned', ['A'])];[('light-skinned', 'A')];hellhäutig;[['hellhäutig']];[''];['0524'];[''];[''];passiv;3/C5;III;a;;
2594;to swap;['to swap'];[('to', ['V TO']), ('swap', ['V INF'])];['T0 T100'];['swap'];[('swap', ['V INF'])];[('swap', 'V')];(aus)tauschen;[['tauschen'], ['austauschen']];[''];[['286'], ['08286']];[''];[''];aktiv;3/C5;III;v;Swap roles with your partner. Now you are a customer and your partner is the seller.;
2595;guard;['guard'];[('guard', ['N 3sg'])];['G6300'];['guard'];[('guard', ['N 3sg'])];[('guard', 'N')];Wache;[['Wache']];[''];['34'];[''];[''];passiv;3/C5;III;s;;
2596;modest;['modest'];[('modest', ['A SUPER', 'A'])];['M32300'];['mod'];[('mod', ['A SUPER', 'A'])];[('mod', 'A')];bescheiden, zurückhaltend;[['bescheiden'], ['zurückhaltend']];[''];[['1826'], ['8745262']];[''];[''];aktiv;3/C5;III;a;Paul is not modest. He always tells everyone that he is the best.;
2597;dark-haired;['dark-haired'];[('dark-haired', ['A'])];['D6263000000'];['dark-haired'];[('dark-haired', ['A'])];[('dark-haired', 'A')];dunkelhaarig;[['dunkelhaarig']];[''];['264574'];[''];[''];passiv;3/C5;III;a;;
2598;rehearsal;['rehearsal'];[('rehearsal', ['N 3sg'])];['R62400000'];['rehearsal'];[('rehearsal', ['N 3sg'])];[('rehearsal', 'N')];Probe;[['Probe']];[''];['171'];[''];[''];passiv;3/C5;III;s;;
2599;plot;['plot'];[('plot', ['N 3sg'])];['P430'];['plot'];[('plot', ['N 3sg'])];[('plot', 'N')];Handlung;[['Handlung']];[''];['062564'];[''];[''];passiv;3/C5;III;s;;
2600;to suppose;['to suppose'];[('to', ['V TO']), ('suppose', ['V INF'])];['T0 T120000'];['suppose'];[('suppose', ['V INF'])];[('suppose', 'V')];annehmen, denken;[['annehmen'], ['denken']];[''];[['0666'], ['2646']];[''];[''];aktiv;3/C5;III;v;France is bigger than England. – I suppose you’re right.;
2601;caption;['caption'];[('caption', ['N 3sg'])];['C135000'];['caption'];[('caption', ['N 3sg'])];[('caption', 'N')];Überschrift, Titel, Bildunterschrift;[['Überschrift'], ['Titel'], ['Bildunterschrift']];[''];[['0178732'], ['225'], ['1526278732']];[''];[''];passiv;3/C9;III;s;;
2602;to discover;['to discover'];[('to', ['V TO']), ('discover', ['V INF'])];['T0 T2160000'];['discover'];[('discover', ['V INF'])];[('discover', 'V')];herausfinden, entdecken;[['herausfinden'], ['entdecken']];[''];[['0783626'], ['06246']];[''];[''];aktiv;3/C9;III;v;A new planet was discovered last week.;
2603;Your Majesty;['Your Majesty'];[('Your', ['Pron GEN ref2nd']), ('Majesty', ['N 3sg'])];['Y600 Y223000'];['your', 'majesty'];[('your', ['Pron GEN ref2nd']), ('majesty', ['N 3sg'])];[('your', 'Pron'), ('majesty', 'N')];Eure Majestät;[['Eure Majestät']];[''];['07 6822'];[''];[''];passiv;3/C10;III;ph;;
2604;to disturb;['to disturb'];[('to', ['V TO']), ('disturb', ['V INF'])];['T0 T236100'];['disturb'];[('disturb', ['V INF'])];[('disturb', 'V')];stören, beunruhigen;[['stören'], ['beunruhigen']];[''];[['8276'], ['16746']];[''];[''];passiv;3/C10;III;v;;
2605;cloaked;['cloaked'];[('cloaked', [['A']])];['C423000'];['cloak'];[('cloak', [['A']])];[('cloak', 'A')];verhüllt;[['verhüllt']];[''];['3752'];[''];[''];passiv;3/C10;III;a;;
2606;figure;['figure'];[('figure', ['N 3sg'])];['F26000'];['figure'];[('figure', ['N 3sg'])];[('figure', 'N')];Gestalt, Figur;[['Gestalt'], ['Figur']];[''];[['48252'], ['347']];[''];[''];passiv;3/C10;III;s;;
2607;to recognize;['to recognize'];[('to', ['V TO']), ('recognize', ['V INF'])];['T0 T22520000'];['recognize'];[('recognize', ['V INF'])];[('recognize', 'V')];(wieder)erkennen, anerkennen;[['erkennen'], ['wiedererkennen'], ['anerkennen']];[''];[['07466'], ['3277466'], ['067466']];[''];[''];aktiv;3/C10;III;v;Nobody recognized Clara in her costume.;
2608;to replace (with);[['to replace'], ['to replace with']];[[('to', ['V TO']), ('replace', ['V INF'])], [('to', ['V TO']), ('replace', ['V INF']), ('with', ['Prep'])]];[['T0 T142000'], ['T0 T142000 T300']];[['replace'], ['replace', 'with']];[[('replace', ['V INF'])], [('replace', ['V INF']), ('with', ['Prep'])]];[[('replace', 'V')], [('replace', 'V'), ('with', 'Prep')]];ersetzen (durch);[['ersetzen'], ['ersetzen durch']];[''];[['07886'], ['07886 274']];[''];[''];aktiv;3/C10;III;v;;
2609;servant;['servant'];[('servant', ['N 3sg'])];['S615300'];['servant'];[('servant', ['N 3sg'])];[('servant', 'N')];Diener/in, Bedienstete/r;[['Diener'], ['Dienerin'], ['Bedienstete'], ['Bediensteter']];[''];[['267'], ['2676'], ['126822'], ['1268227']];[''];[''];passiv;3/C10;III;s;;
2610;at last;['at last'];[('at', ['Prep']), ('last', ['A'])];['A3 A230'];['at', 'last'];[('at', ['Prep']), ('last', ['A'])];[('at', 'Prep'), ('last', 'A')];endlich;[['endlich']];[''];['06254'];[''];[''];aktiv;3/C10;III;ph;Sara looked for hours until at last she found her MP3 player.;
2611;a piece of information;['a piece of information'];[('a', ['Det']), ('piece', ['N 3sg']), ('of', ['Prep']), ('information', ['N 3sg'])];['A A2000 A1 A5165350000'];['a', 'piece', 'of', 'information'];[('a', ['Det']), ('piece', ['N 3sg']), ('of', ['Prep']), ('information', ['N 3sg'])];[('a', 'Det'), ('piece', 'N'), ('of', 'Prep'), ('information', 'N')];eine Information;[['eine Information']];[''];['06 0637626'];[''];[''];aktiv;3/C10;III;ph;;
2612;scoundrel;['scoundrel'];[('scoundrel', ['N 3sg'])];['S53640000'];['scoundrel'];[('scoundrel', ['N 3sg'])];[('scoundrel', 'N')];Schuft, Halunke, Schurke;[['Schuft'], ['Halunke'], ['Schurke']];[''];[['832'], ['0564'], ['874']];[''];[''];passiv;3/C10;III;s;;
2613;completely;['completely'];[('completely', ['Adv'])];['C514340000'];['completely'];[('completely', ['Adv'])];[('completely', 'Adv')];völlig;[['völlig']];[''];['354'];[''];[''];aktiv;3/C10;III;av;Nora was completely surprised by Adrian’s present.;
2614;to silence;['to silence'];[('to', ['V TO']), ('silence', ['V INF'])];['T0 T452000'];['silence'];[('silence', ['V INF'])];[('silence', 'V')];zum Schweigen bringen;[['zum Schweigen bringen']];[''];['86 8346 17646'];[''];[''];passiv;3/C10;III;v;;
2615;stage direction;['stage direction'];[('stage', ['N 3sg']), ('direction', ['N 3sg'])];['S3200 S62350000'];['stage', 'direction'];[('stage', ['N 3sg']), ('direction', ['N 3sg'])];[('stage', 'N'), ('direction', 'N')];Bühnenanweisung;[['Bühnenanweisung']];[''];['16663864'];[''];[''];passiv;3/C10;III;s;;
2616;terrified;['terrified'];[('terrified', [['A']])];['T61300000'];['terrify'];[('terrify', [['A']])];[('terrify', 'A')];erschrocken, verängstigt;[['erschrocken'], ['verängstigt']];[''];[['078746'], ['37648242']];[''];[''];passiv;3/C10;III;a;;
2617;to command;['to command'];[('to', ['V TO']), ('command', ['V INF'])];['T0 T553000'];['command'];[('command', ['V INF'])];[('command', 'V')];Befehl geben, befehlen;[['Befehl geben'], ['befehlen']];[''];[['135 416'], ['1356']];[''];[''];passiv;3/C10;III;v;;
2618;to beg;['to beg'];[('to', ['V TO']), ('beg', ['V INF'])];['T0 T20'];['beg'];[('beg', ['V INF'])];[('beg', 'V')];betteln, bitten, anflehen;[['betteln'], ['bitten'], ['anflehen']];[''];[['1256'], ['126'], ['06356']];[''];[''];passiv;3/C10;III;v;;
2619;to pay attention (irr);['to pay attention'];[('to', ['V TO']), ('pay', ['V INF']), ('attention', ['N 3sg'])];['T0 T00 T35350000'];['pay', 'attention'];[('pay', ['V INF']), ('attention', ['N 3sg'])];[('pay', 'V'), ('attention', 'N')];Acht geben, aufpassen;[['Acht geben'], ['aufpassen']];[''];[['042 416'], ['03186']];[''];[''];aktiv;3/C11;III;ph;Ben didn’t pay attention, so he didn’t know how to do his work.;
2620;attention (no pl);['attention'];[('attention', ['N 3sg'])];['A35350000'];['attention'];[('attention', ['N 3sg'])];[('attention', 'N')];Aufmerksamkeit, Achtung;[['Aufmerksamkeit'], ['Achtung']];[''];[['036748642'], ['04264']];[''];[''];aktiv;3/C11;III;s;;
2621;pace;['pace'];[('pace', ['N 3sg'])];['P200'];['pace'];[('pace', ['N 3sg'])];[('pace', 'N')];Tempo, Schritt;[['Tempo'], ['Schritt']];[''];[['261'], ['872']];[''];[''];passiv;3/C11;III;s;;
2622;facial expression;['facial expression'];[('facial', ['N 3sg']), ('expression', ['N 3sg'])];['F24000 F216250000'];['fascial', 'expression'];[('fascial', ['N 3sg']), ('expression', ['N 3sg'])];[('fascial', 'N'), ('expression', 'N')];Gesichtsausdruck;[['Gesichtsausdruck']];[''];['48488274'];[''];[''];passiv;3/C11;III;s;;
2623;time;['time'];[('time', ['N 3sg'])];['T500'];['time'];[('time', ['N 3sg'])];[('time', 'N')];Mal;[['Mal']];[''];['65'];[''];[''];aktiv;3/C11;III;s;Every time I go to the park, it rains.;
2624;to divide into;['to divide into'];[('to', ['V TO']), ('divide', ['V INF']), ('into', ['Prep'])];['T0 T13000 T530'];['divide', 'into'];[('divide', ['V INF']), ('into', ['Prep'])];[('divide', 'V'), ('into', 'Prep')];(auf)teilen in;[['teilen in'], ['aufteilen in']];[''];[['256 06'], ['03256 06']];[''];[''];aktiv;3/C12;III;ph;The teacher divided the class into four small groups.;
2625;to edit;['to edit'];[('to', ['V TO']), ('edit', ['V INF'])];['T0 T330'];['edit'];[('edit', ['V INF'])];[('edit', 'V')];redigieren, bearbeiten;[['redigieren'], ['bearbeiten']];[''];[['72476'], ['17126']];[''];[''];aktiv;3/C12;III;v;Laura edited her story and changed parts until she liked it.;
2626;to keep sb posted (irr);[['to keep posted'], ['to keep sb posted']];[[('to', ['V TO']), ('keep', ['V INF']), ('posted', ['V PPART WK', 'V PAST WK'])]];[['T0 T100 T23300'], ['T0 T100 T1 T23300']];[['keep', 'post']];[[('keep', ['V INF']), ('post', ['V PPART WK', 'V PAST WK'])]];[[('keep', 'V'), ('post', 'V')]];jdn auf dem Laufenden halten;[['jdn auf dem Laufenden halten']];[''];['026 03 26 53626 0526'];[''];[''];passiv;4/A;III;ph;;
2627;to connect;['to connect'];[('to', ['V TO']), ('connect', ['V INF'])];['T0 T523000'];['connect'];[('connect', ['V INF'])];[('connect', 'V')];verbinden, anschließen;[['verbinden'], ['anschließen']];[''];[['371626'], ['068586']];[''];[''];aktiv;4/A;III;v;Anna uses the Internet to stay connected to her friends.;ID 5947644
2628;to skim;['to skim'];[('to', ['V TO']), ('skim', ['V INF'])];['T0 T500'];['skim'];[('skim', ['V INF'])];[('skim', 'V')];streifen, überfliegen;[['streifen'], ['überfliegen']];[''];[['82736'], ['0173546']];[''];[''];aktiv;4/A2;III;v;Bob skimmed the book quickly to find the information he needed.;
2629;stepdad (informal);['stepdad'];[('stepdad', ['N'])];['S313300'];['stepdad'];[('stepdad', ['N'])];[('stepdad', 'N')];Stiefpapa;[['Stiefpapa']];[''];['82311'];[''];[''];passiv;4/A2;III;s;;
2630;to make fun of sb (irr);[['to make fun of'], ['to make fun of sb']];[[('to', ['V TO']), ('make', ['V INF']), ('fun', ['N 3sg']), ('of', ['Prep'])]];[['T0 T200 T50 T1'], ['T0 T200 T50 T1 T1']];[['make', 'fun', 'of']];[[('make', ['V INF']), ('fun', ['N 3sg']), ('of', ['Prep'])]];[[('make', 'V'), ('fun', 'N'), ('of', 'Prep')]];sich über jdn lustig machen;[['sich über jdn lustig machen']];[''];['84 017 026 5824 646'];[''];[''];aktiv;4/A2;III;ph;Beth’s brother always makes fun of her.;
2631;to embarrass;['to embarrass'];[('to', ['V TO']), ('embarrass', ['V INF'])];['T0 T51620000'];['embarrass'];[('embarrass', ['V INF'])];[('embarrass', 'V')];in Verlegenheit/eine peinliche Lage bringen;[['in Verlegenheit bringen'], ['in eine peinliche Lage bringen']];[''];[['06 375462 17646'], ['06 06 1654 54 17646']];[''];[''];passiv;4/A2;III;v;;
2632;sis (= sister) (informal);[['sis'], ['sister']];[[('sis', ['N 3sg'])], [('sister', ['N 3sg'])]];[['S20'], ['S23600']];[['sis'], ['sister']];[[('sis', ['N 3sg'])], [('sister', ['N 3sg'])]];[[('sis', 'N')], [('sister', 'N')]];Schwesterherz;[['Schwesterherz']];[''];['8382778'];[''];[''];passiv;4/A2;III;s;;
2633;shut up (informal);['shut up'];[('shut', ['V PPART STR', 'V PAST STR', 'V INF']), ('up', ['Part'])];['S300 S1'];['shut', 'up'];[('shut', ['V PPART STR', 'V PAST STR', 'V INF']), ('up', ['Part'])];[('shut', 'V'), ('up', 'Part')];Halt den Mund!;[['Halt den Mund']];[''];['052 26 662'];[''];[''];passiv;4/A2;III;ph;;
2634;sure (informal);['sure'];[('sure', [['I']])];['S600'];['sure'];[('sure', [['I']])];[('sure', 'I')];Natürlich!, Klar!;[['Natürlich'], ['Klar']];[''];[['62754'], ['457']];[''];[''];passiv;4/A2;III;i;;
2635;OTW (= on the way) (informal);[['OTW'], ['on the way']];[[('OTW', ['ABR'])], [('on', ['Prep']), ('the', ['Det']), ('way', ['N 3sg'])]];[['O30'], ['O5 O00 O00']];[['OTW'], ['on', 'the', 'way']];[[('OTW', ['ABR'])], [('on', ['Prep']), ('the', ['Det']), ('way', ['N 3sg'])]];[[('OTW', 'ABR')], [('on', 'Prep'), ('the', 'Det'), ('way', 'N')]];Schon unterwegs!;[['Schon unterwegs']];[''];['86 0627348'];[''];[''];passiv;4/A2;III;ph;;
2636;cute;['cute'];[('cute', ['A'])];['C300'];['cute'];[('cute', ['A'])];[('cute', 'A')];süß, niedlich;[['süß'], ['niedlich']];[''];[['88'], ['6254']];[''];[''];passiv;4/A2;III;a;;
2637;cottage;['cottage'];[('cottage', ['N 3sg'])];['C320000'];['cottage'];[('cottage', ['N 3sg'])];[('cottage', 'N')];Landhaus, Hütte;[['Landhaus'], ['Hütte']];[''];[['5628'], ['02']];[''];[''];aktiv;4/A2;III;s;A cottage is a small house.;
2638;quirky;['quirky'];[('quirky', ['A'])];['Q62000'];['quirky'];[('quirky', ['A'])];[('quirky', 'A')];schrullig, eigenartig;[['schrullig'], ['eigenartig']];[''];[['8754'], ['046724']];[''];[''];passiv;4/A2;III;a;;
2639;from the outside;['from the outside'];[('from', ['Prep']), ('the', ['Det']), ('outside', ['Prep'])];['F650 F00 F323000'];['from', 'the', 'outside'];[('from', ['Prep']), ('the', ['Det']), ('outside', ['Prep'])];[('from', 'Prep'), ('the', 'Det'), ('outside', 'Prep')];von außen;[['von außen']];[''];['36 086'];[''];[''];passiv;4/A2;III;ph;;
2640;countryside (no pl);['countryside'];[('countryside', ['N 3sg'])];['C5362300000'];['countryside'];[('countryside', ['N 3sg'])];[('countryside', 'N')];Land, Landschaft;[['Land'], ['Landschaft']];[''];[['562'], ['56832']];[''];[''];aktiv;4/A2;III;s;The countryside is very different from the city.;ID 6096348
2641;wonder;['wonder'];[('wonder', ['N 3sg'])];['W53600'];['wonder'];[('wonder', ['N 3sg'])];[('wonder', 'N')];Wunder;[['Wunder']];[''];['3627'];[''];[''];passiv;4/A2;III;s;;
2642;out in the sticks (informal);['out in the sticks'];[('out', ['Adv']), ('in', ['Prep']), ('the', ['Det']), ('sticks', ['N 3pl'])];['O30 O5 O00 O32000'];['out', 'in', 'the', 'stick'];[('out', ['Adv']), ('in', ['Prep']), ('the', ['Det']), ('stick', ['N 3pl'])];[('out', 'Adv'), ('in', 'Prep'), ('the', 'Det'), ('stick', 'N')];abgelegen, jwd;[['abgelegen'], ['jwd']];[''];[['014546'], ['032']];[''];[''];passiv;4/A2;III;ph;;
2643;right now;['right now'];[('right', ['Adv']), ('now', ['Adv'])];['R2300 R00'];['right', 'now'];[('right', ['Adv']), ('now', ['Adv'])];[('right', 'Adv'), ('now', 'Adv')];jetzt (gerade), sofort, gleich;[['jetzt'], ['jetzt gerade'], ['sofort'], ['gleich']];[''];[['082'], ['082 472'], ['8372'], ['454']];[''];[''];aktiv;4/A2;III;ph;Are you doing your homework? – Yes! I’m doing it right now.;
2644;to bet (irr);['to bet'];[('to', ['V TO']), ('bet', ['V PPART STR', 'V PAST STR', 'V INF'])];['T0 T30'];['bet'];[('bet', ['V PPART STR', 'V PAST STR', 'V INF'])];[('bet', 'V')];wetten;[['wetten']];[''];['326'];[''];[''];aktiv;4/A2;III;v;I bet Pete is going to be late again!;
2645;OMG (= oh my God);[['OMG'], ['oh my God']];[[('OMG', ['ABR'])], [('oh', ['I']), ('my', ['Pron GEN ref1sg']), ('God', ['PropN 3sg'])]];[['O52'], ['O0 O0 O30']];[['OMG'], ['oh', 'my', 'God']];[[('OMG', ['ABR'])], [('oh', ['I']), ('my', ['Pron GEN ref1sg']), ('God', ['PropN 3sg'])]];[[('OMG', 'ABR')], [('oh', 'I'), ('my', 'Pron'), ('God', 'PropN')]];Oh (mein) Gott!, Großer Gott!;[['Oh Gott'], ['Oh mein Gott'], ['Großer Gott']];[''];[['0 42'], ['0 66 42'], ['4787 42']];[''];[''];passiv;4/A2;III;ph;;
2646;suntan lotion (no pl);['suntan lotion'];[('suntan', ['N 3sg']), ('lotion', ['N 3sg'])];['S53500 S35000'];['suntan', 'lotion'];[('suntan', ['N 3sg']), ('lotion', ['N 3sg'])];[('suntan', 'N'), ('lotion', 'N')];Sonnencreme;[['Sonnencreme']];[''];['86676'];[''];[''];passiv;4/A2;III;s;;
2647;to block;['to block'];[('to', ['V TO']), ('block', ['V INF'])];['T0 T4200'];['block'];[('block', ['V INF'])];[('block', 'V')];blockieren;[['blockieren']];[''];['15476'];[''];[''];aktiv;4/A2;III;v;Dave blocked my way so I couldn’t get past.;
2648;track;['track'];[('track', ['N 3sg'])];['T6200'];['track'];[('track', ['N 3sg'])];[('track', 'N')];Weg, Pfad, hier: Gleis;[['Weg'], ['Pfad'], ['Gleis']];[''];[['34'], ['132'], ['458']];[''];[''];aktiv;4/A2;III;s;;
2649;LOL (= laughing out loud);[['LOL'], ['laughing out loud']];[[('LOL', ['ABR'])], [('laughing', ['V PROG']), ('out', ['Part']), ('loud', ['Adv'])]];[['L40'], ['L2520000 L30 L300']];[['LOL'], ['laugh', 'out', 'loud']];[[('LOL', ['ABR'])], [('laugh', ['V PROG']), ('out', ['Part']), ('loud', ['Adv'])]];[[('LOL', 'ABR')], [('laugh', 'V'), ('out', 'Part'), ('loud', 'Adv')]];laut lachend;[['laut lachend']];[''];['52 5462'];[''];[''];passiv;4/A2;III;ph;;
2650;stay;['stay'];[('stay', ['N 3sg'])];['S300'];['stay'];[('stay', ['N 3sg'])];[('stay', 'N')];Aufenthalt;[['Aufenthalt']];[''];['036252'];[''];[''];aktiv;4/A2;III;s;We really enjoyed our stay in Scotland.;
2651;either ... or ...;['either or'];[('either', ['Conj']), ('or', ['Conj'])];['E36000 E6'];['either', 'or'];[('either', ['Conj']), ('or', ['Conj'])];[('either', 'Conj'), ('or', 'Conj')];entweder ... oder ...;[['entweder oder']];[''];['062327 027'];[''];[''];aktiv;4/A3;III;k;Ella had to choose either the red dress or the blue dress for the party.;
2652;feeling;['feeling'];[('feeling', ['N 3sg'])];['F452000'];['feeling'];[('feeling', ['N 3sg'])];[('feeling', 'N')];Gefühl, hier auch: Meinung;[['Gefühl'], ['Meinung']];[''];[['435'], ['6664']];[''];[''];aktiv;4/A3;III;s;What’s your feeling about living in the countryside?;
2653;close;['close'];[('close', ['A'])];['C4200'];['close'];[('close', ['A'])];[('close', 'A')];nah(e);[['nah'], ['nahe']];[''];[['6'], ['6']];[''];[''];aktiv;4/A3;III;a;Greg is very close to his family.;
2654;relationship;['relationship'];[('relationship', ['N 3sg'])];['R43521000000'];['relationship'];[('relationship', ['N 3sg'])];[('relationship', 'N')];Beziehung;[['Beziehung']];[''];['1864'];[''];[''];aktiv;4/A4;III;s;Kevin and his girlfriend have a good relationship.;
2655;that day;['that day'];[('that', ['Det']), ('day', ['N 3sg'])];['T300 T00'];['that', 'day'];[('that', ['Det']), ('day', ['N 3sg'])];[('that', 'Det'), ('day', 'N')];an diesem Tag;[['an diesem Tag']];[''];['06 286 24'];[''];[''];passiv;4/A4;III;ph;;
2656;complicated;['complicated'];[('complicated', ['A'])];['C5142330000'];['complicate'];[('complicate', ['A'])];[('complicate', 'A')];kompliziert, schwierig;[['kompliziert'], ['schwierig']];[''];[['4615872'], ['8374']];[''];[''];aktiv;4/A4;III;a;complicated ↔ easy/simple;
2657;post;['post'];[('post', ['N 3sg'])];['P230'];['post'];[('post', ['N 3sg'])];[('post', 'N')];online veröffentlichter Beitrag/Artikel/Eintrag;[['online veröffentlichter Beitrag'], ['online veröffentlichter Artikel'], ['online veröffentlichter Eintrag']];[''];[['0656 373625427 1274'], ['0656 373625427 07245'], ['0656 373625427 06274']];[''];[''];passiv;4/A5;III;s;;
2658;to put sth on the line (irr);[['to put on the line'], ['to put sth on the line']];[[('to', ['V TO']), ('put', ['V PPART STR', 'V PAST STR', 'V INF']), ('on', ['Prep']), ('the', ['Det']), ('line', ['N 3sg'])]];[['T0 T30 T5 T00 T500'], ['T0 T30 T30 T5 T00 T500']];[['put', 'on', 'the', 'line']];[[('put', ['V PPART STR', 'V PAST STR', 'V INF']), ('on', ['Prep']), ('the', ['Det']), ('line', ['N 3sg'])]];[[('put', 'V'), ('on', 'Prep'), ('the', 'Det'), ('line', 'N')]];etw aufs Spiel setzen, etw gefährden;[['etw aufs Spiel setzen'], ['etw gefährden']];[''];[['023 038 815 886'], ['023 43726']];[''];[''];passiv;4/B1;III;ph;;
2659;in my opinion;['in my opinion'];[('in', ['Prep']), ('my', ['Pron GEN ref1sg']), ('opinion', ['N 3sg'])];['I5 I0 I155000'];['in', 'my', 'opinion'];[('in', ['Prep']), ('my', ['Pron GEN ref1sg']), ('opinion', ['N 3sg'])];[('in', 'Prep'), ('my', 'Pron'), ('opinion', 'N')];meiner Meinung nach;[['meiner Meinung nach']];[''];['667 6664 64'];[''];[''];aktiv;4/B2;III;ph;In my opinion, sport is boring.;
2660;doubt;['doubt'];[('doubt', ['N 3sg'])];['D1300'];['doubt'];[('doubt', ['N 3sg'])];[('doubt', 'N')];Zweifel, Bedenken;[['Zweifel'], ['Bedenken']];[''];[['8335'], ['12646']];[''];[''];aktiv;4/B2;III;s;There’s no doubt we should do more to protect the environment.;
2661;What's got into ...? (informal);"[""What's got into""]";"[(""What's"", ['NVC 3sg PRES wh']), ('got', ['V PPART STR', 'V PAST STR', 'V INF']), ('into', ['Prep'])]";['W32000 W30 W530'];['what is', 'get', 'into'];[('what is', ['NVC 3sg PRES wh']), ('get', ['V PPART STR', 'V PAST STR', 'V INF']), ('into', ['Prep'])];[('what is', 'NVC'), ('get', 'V'), ('into', 'Prep')];Was ist mit ... los?, Was ist in ... gefahren?;[['Was ist mit los, Was ist in gefahren']];[''];['38 082 62 58  38 082 06 4376'];[''];[''];passiv;4/B2;III;ph;;
2662;Welshwoman;['Welshwoman'];[('Welshwoman', ['N'])];['W425500000'];['Welshwoman'];[('Welshwoman', ['N'])];[('Welshwoman', 'N')];Waliserin;[['Waliserin']];[''];['35876'];[''];[''];passiv;4/B2;III;s;;
2663;joke;['joke'];[('joke', ['N 3sg'])];['J200'];['joke'];[('joke', ['N 3sg'])];[('joke', 'N')];Spaß, Streich, Witz;[['Spaß'], ['Streich'], ['Witz']];[''];[['818'], ['8274'], ['38']];[''];[''];aktiv;4/B2;III;s;My dad tells really funny jokes.;
2664;to be the talk of the town (irr);['to be the talk of the town'];[('to', ['V TO']), ('be', ['V INF']), ('the', ['Det']), ('talk', ['N 3sg']), ('of', ['Prep']), ('the', ['Det']), ('town', ['N 3sg'])];['T0 T0 T00 T420 T1 T00 T500'];['be', 'the', 'talk', 'of', 'the', 'town'];[('be', ['V INF']), ('the', ['Det']), ('talk', ['N 3sg']), ('of', ['Prep']), ('the', ['Det']), ('town', ['N 3sg'])];[('be', 'V'), ('the', 'Det'), ('talk', 'N'), ('of', 'Prep'), ('the', 'Det'), ('town', 'N')];Stadtgespräch sein;[['Stadtgespräch sein']];[''];['82248174 86'];[''];[''];passiv;4/B2;III;ph;;
